Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Main Actors
tt1074638,7,2025-12-01,Skyfall,Skyfall,https://www.imdb.com/title/tt1074638,Film,7.8,143,2012,"Azione, Thriller, Avventura",762654,2012-10-31,Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris"
tt0381061,8,2025-12-01,Casino Royale,Casino Royale,https://www.imdb.com/title/tt0381061,Film,8.0,144,2006,"Thriller, Azione, Avventura",731848,2007-01-05,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench"
tt0066995,5,2025-11-29,Agente 007 - Una cascata di diamanti,Diamonds Are Forever,https://www.imdb.com/title/tt0066995,Film,6.5,120,1971,"Thriller, Avventura, Azione",120647,1971-12-17,Guy Hamilton,"Sean Connery, Jill St. John, Charles Gray"
tt0064757,6,2025-11-24,Agente 007 - Al servizio segreto di Sua Maestà,On Her Majesty's Secret Service,https://www.imdb.com/title/tt0064757,Film,6.7,142,1969,"Thriller, Avventura, Azione",106018,1969-12-18,Peter R. Hunt,"George Lazenby, Diana Rigg, Telly Savalas"
tt21823606,6,2025-11-16,A Real Pain,A Real Pain,https://www.imdb.com/title/tt21823606,Film,7.0,90,2024,"Commedia, Drammatico",118271,2025-02-27,Jesse Eisenberg,"Kieran Culkin, Jesse Eisenberg, Olha Bosova"
tt0062512,6,2025-11-09,Agente 007 - Si vive solo due volte,You Only Live Twice,https://www.imdb.com/title/tt0062512,Film,6.8,117,1967,"Avventura, Thriller, Azione",124554,1967-10-04,Lewis Gilbert,"Sean Connery, Akiko Wakabayashi, Mie Hama"
tt0055928,6,2025-11-09,Agente 007 - Licenza di uccidere,Dr. No,https://www.imdb.com/title/tt0055928,Film,7.2,110,1962,"Avventura, Thriller, Azione",190540,1963-01-17,Terence Young,"Sean Connery, Ursula Andress, Bernard Lee"
tt0075686,8,2025-11-09,Io e Annie,Annie Hall,https://www.imdb.com/title/tt0075686,Film,7.9,93,1977,"Sentimentale, Commedia",288672,1977-09-02,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts"
tt0059800,5,2025-11-09,Agente 007 - Thunderball: operazione tuono,Thunderball,https://www.imdb.com/title/tt0059800,Film,6.9,130,1965,"Thriller, Avventura, Azione",134582,1965-12-15,Terence Young,"Sean Connery, Claudine Auger, Adolfo Celi"
tt9071322,6,2025-11-09,Cattive acque,Dark Waters,https://www.imdb.com/title/tt9071322,Film,7.6,126,2019,"Drammatico, Biografico, Storico, Thriller",118926,2020-02-20,Todd Haynes,"Mark Ruffalo, Anne Hathaway, Tim Robbins"
tt30144839,7,2025-11-01,Una battaglia dopo l'altra,One Battle After Another,https://www.imdb.com/title/tt30144839,Film,8.0,161,2025,"Poliziesco, Drammatico, Thriller, Azione",182980,2025-09-25,Paul Thomas Anderson,"Leonardo DiCaprio, Sean Penn, Benicio Del Toro"
tt0058150,7,2025-11-01,Agente 007 - Missione Goldfinger,Goldfinger,https://www.imdb.com/title/tt0058150,Film,7.7,110,1964,"Avventura, Thriller, Azione",213378,1965-01-01,Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman"
tt0057076,6,2025-10-24,"A 007, dalla Russia con amore",From Russia with Love,https://www.imdb.com/title/tt0057076,Film,7.3,115,1963,"Thriller, Avventura, Azione",154740,1964-01-31,Terence Young,"Sean Connery, Robert Shaw, Lotte Lenya"
tt7160372,7,2025-10-19,La zona d'interesse,The Zone of Interest,https://www.imdb.com/title/tt7160372,Film,7.3,105,2023,"Drammatico, Storico, Guerra",143879,2024-02-22,Jonathan Glazer,"Christian Friedel, Sandra Hüller, Johann Karthaus"
tt3647998,6,2025-10-10,Taboo,Taboo,https://www.imdb.com/title/tt3647998,Serie TV,8.3,60,2017,"Drammatico, Thriller, Giallo",160127,2017-01-07,,"Tom Hardy, David Hayman, Jonathan Pryce"
tt0083658,9,2025-10-06,Blade Runner,Blade Runner,https://www.imdb.com/title/tt0083658,Film,8.1,117,1982,"Thriller, Azione, Drammatico, Fantascienza",869641,1982-10-14,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young"
tt1381404,6,2025-10-04,La regola del silenzio - The Company You Keep,The Company You Keep,https://www.imdb.com/title/tt1381404,Film,6.4,125,2012,"Thriller, Drammatico",37122,2012-12-20,Robert Redford,"Robert Redford, Brit Marling, Stanley Tucci"
tt0064115,7,2025-09-29,Butch Cassidy,Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115,Film,8.0,110,1969,"Biografico, Poliziesco, Drammatico, Avventura, Western",237059,1969-09-26,George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross"
tt2837574,7,2025-09-22,Old Man & the Gun,The Old Man & the Gun,https://www.imdb.com/title/tt2837574,Film,6.7,93,2018,"Commedia, Poliziesco, Drammatico, Biografico, Sentimentale",52113,2018-12-20,David Lowery,"Robert Redford, Casey Affleck, Sissy Spacek"
tt18559464,7,2025-09-20,My Old Ass,My Old Ass,https://www.imdb.com/title/tt18559464,Film,6.9,89,2024,"Commedia, Drammatico, Sentimentale",45346,2024-11-07,Megan Park,"Maisy Stella, Aubrey Plaza, Percy Hynes White"
tt0458352,6,2025-09-20,Il diavolo veste Prada,The Devil Wears Prada,https://www.imdb.com/title/tt0458352,Film,7.0,109,2006,"Drammatico, Commedia",516080,2006-10-13,David Frankel,"Anne Hathaway, Meryl Streep, Adrian Grenier"
tt10272386,7,2025-09-13,The Father,The Father,https://www.imdb.com/title/tt10272386,Film,8.2,97,2020,"Drammatico, Giallo",222257,2021-05-20,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss"
tt0102426,7,2025-09-09,Mediterraneo,Mediterraneo,https://www.imdb.com/title/tt0102426,Film,7.4,96,1991,"Drammatico, Guerra, Commedia",17431,1991-01-31,Gabriele Salvatores,"Diego Abatantuono, Claudio Bigagli, Giuseppe Cederna"
tt14849194,7,2025-09-08,The Holdovers - Lezioni di vita,The Holdovers,https://www.imdb.com/title/tt14849194,Film,7.9,133,2023,"Commedia, Drammatico",214053,2024-01-18,Alexander Payne,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa"
tt2397535,5,2025-09-02,Predestination,Predestination,https://www.imdb.com/title/tt2397535,Film,7.4,97,2014,"Fantascienza, Thriller, Drammatico, Azione",329093,2015-07-01,"Michael Spierig,Peter Spierig","Ethan Hawke, Sarah Snook, Noah Taylor"
tt0765443,7,2025-08-17,La promessa dell'assassino,Eastern Promises,https://www.imdb.com/title/tt0765443,Film,7.6,100,2007,"Thriller, Poliziesco, Drammatico",274406,2007-12-14,David Cronenberg,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl"
